"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"9/3/2020, Pacific Time",868808,866522,714901,-137168
CAL,"9/4/2020, Pacific Time",919694,941254,748502,-157975
CAL,"9/5/2020, Pacific Time",998557,1008477,756413,-230317
CAL,"9/6/2020, Pacific Time",1060591,1082547,805845,-246144
CAL,"9/7/2020, Pacific Time",997746,1055874,738953,-248327
CAL,"9/8/2020, Pacific Time",904086,1011792,655139,-237275
CAL,"9/9/2020, Pacific Time",838453,893384,589847,-234670
CAL,"9/10/2020, Pacific Time",785563,851226,533264,-235003
CAL,"9/11/2020, Pacific Time",779812,829682,535424,-225817
CAL,"9/12/2020, Pacific Time",750837,760776,505757,-225491
CAL,"9/13/2020, Pacific Time",731748,734867,514646,-196582
CAL,"9/14/2020, Pacific Time",817520,803336,590454,-208345
CAL,"9/15/2020, Pacific Time",831874,825168,599693,-213103
CAL,"9/16/2020, Pacific Time",851549,847339,627434,-208801
CAL,"9/17/2020, Pacific Time",854368,831934,632099,-205435
CAL,"9/18/2020, Pacific Time",866806,816641,621931,-225598
CAL,"9/19/2020, Pacific Time",798592,753217,569121,-209254
CAL,"9/20/2020, Pacific Time",754295,739026,526430,-208517
CAL,"9/21/2020, Pacific Time",818023,789461,584770,-213979
CAL,"9/22/2020, Pacific Time",827079,786602,591750,-215535
CAL,"9/23/2020, Pacific Time",824585,815439,597341,-206624
CAL,"9/24/2020, Pacific Time",839416,820588,607324,-217069
CAL,"9/25/2020, Pacific Time",803902,784530,563566,-222078
CAL,"9/26/2020, Pacific Time",762332,755665,516094,-226103
CAL,"9/27/2020, Pacific Time",774069,775902,526218,-229359
CAL,"9/28/2020, Pacific Time",890689,902364,646547,-234001
CAL,"9/29/2020, Pacific Time",905090,921753,657774,-234900
CAL,"9/30/2020, Pacific Time",940366,956623,680428,-247002
CAL,"10/1/2020, Pacific Time",949613,963214,690227,-241377
CAL,"10/2/2020, Pacific Time",920369,935613,657082,-246864
CAL,"10/3/2020, Pacific Time",833432,843370,588778,-230513
CAL,"10/4/2020, Pacific Time",787183,781946,539548,-234640
CAL,"10/5/2020, Pacific Time",831652,838806,613416,-206923
CAL,"10/6/2020, Pacific Time",811001,819709,598707,-198066
CAL,"10/7/2020, Pacific Time",785322,770897,583700,-181450
CAL,"10/8/2020, Pacific Time",745273,726229,510372,-203929
CAL,"10/9/2020, Pacific Time",728581,706642,531498,-169169
CAL,"10/10/2020, Pacific Time",687274,663991,483647,-176407
CAL,"10/11/2020, Pacific Time",665448,650591,469055,-168174
CAL,"10/12/2020, Pacific Time",777135,791407,561225,-194481
CAL,"10/13/2020, Pacific Time",829596,816564,591732,-215675
CAL,"10/14/2020, Pacific Time",840172,829109,592588,-228276
CAL,"10/15/2020, Pacific Time",848990,850614,612262,-217069
CAL,"10/16/2020, Pacific Time",856795,856488,598291,-237700
CAL,"10/17/2020, Pacific Time",772779,777379,570551,-181729
CAL,"10/18/2020, Pacific Time",725560,730281,543317,-160520
CAL,"10/19/2020, Pacific Time",771276,776210,578706,-177457
CAL,"10/20/2020, Pacific Time",758341,771410,576841,-166337
CAL,"10/21/2020, Pacific Time",755610,761852,555093,-183530
CAL,"10/22/2020, Pacific Time",724172,733762,551320,-152915
